authorId:ID(Authors),name,:LABEL
1,Luca Cabibbo,Autor
2,Giansalvatore Mecca,Autor
3,Paolo Atzeni,Autor
4,Filippo Cacace,Autor
5,Stefano Ceri,Autor
6,Nicola Leone,Autor
7,Massimo Romeo,Autor
8,Pasquale Rullo,Autor
9,Domenico Saccà,Autor
