:START_ID(Authors),:END_ID(Pubs),:TYPE
122,223,Autoria
151,223,Autoria
138,224,Autoria
150,224,Autoria
56,224,Autoria
181,225,Autoria
58,226,Autoria
32,227,Autoria
182,228,Autoria
46,229,Autoria
54,230,Autoria
183,231,Autoria
53,232,Autoria
86,233,Autoria
145,234,Autoria
167,235,Autoria
102,236,Autoria
184,236,Autoria
65,237,Autoria
185,238,Autoria
19,239,Autoria
18,239,Autoria
14,240,Autoria
186,240,Autoria
60,241,Autoria
59,241,Autoria
187,241,Autoria
188,241,Autoria
189,242,Autoria
19,243,Autoria
53,243,Autoria
190,244,Autoria
132,245,Autoria
23,245,Autoria
160,245,Autoria
19,246,Autoria
28,246,Autoria
53,246,Autoria
41,246,Autoria
43,246,Autoria
45,246,Autoria
21,247,Autoria
54,248,Autoria
191,250,Autoria
192,250,Autoria
193,250,Autoria
194,251,Autoria
195,252,Autoria
196,252,Autoria
197,252,Autoria
198,253,Autoria
199,254,Autoria
200,254,Autoria
201,255,Autoria
196,256,Autoria
202,256,Autoria
203,256,Autoria
204,257,Autoria
199,257,Autoria
205,258,Autoria
206,259,Autoria
207,260,Autoria
208,261,Autoria
209,261,Autoria
210,262,Autoria
209,262,Autoria
198,263,Autoria
211,264,Autoria
204,265,Autoria
199,265,Autoria
212,265,Autoria
207,266,Autoria
213,266,Autoria
214,267,Autoria
210,268,Autoria
209,268,Autoria
215,269,Autoria
216,270,Autoria
217,270,Autoria
218,270,Autoria
219,271,Autoria
196,272,Autoria
220,272,Autoria
221,273,Autoria
198,274,Autoria
222,275,Autoria
223,275,Autoria
201,276,Autoria
224,276,Autoria
225,276,Autoria
226,276,Autoria
227,276,Autoria
228,277,Autoria
229,277,Autoria
230,277,Autoria
198,277,Autoria
191,278,Autoria
191,279,Autoria
213,280,Autoria
211,281,Autoria
206,282,Autoria
231,282,Autoria
232,283,Autoria
198,284,Autoria
233,285,Autoria
196,285,Autoria
232,286,Autoria
210,287,Autoria
209,287,Autoria
234,288,Autoria
198,289,Autoria
235,290,Autoria
236,290,Autoria
196,290,Autoria
213,291,Autoria
237,292,Autoria
223,293,Autoria
206,294,Autoria
198,295,Autoria
238,296,Autoria
196,296,Autoria
192,297,Autoria
198,298,Autoria
228,298,Autoria
196,299,Autoria
197,299,Autoria
239,300,Autoria
240,300,Autoria
241,300,Autoria
242,301,Autoria
191,302,Autoria
192,302,Autoria
222,303,Autoria
243,303,Autoria
244,304,Autoria
245,304,Autoria
213,304,Autoria
238,305,Autoria
196,305,Autoria
198,306,Autoria
246,306,Autoria
247,307,Autoria
218,307,Autoria
206,308,Autoria
248,309,Autoria
249,310,Autoria
192,311,Autoria
222,312,Autoria
250,312,Autoria
196,313,Autoria
251,313,Autoria
252,313,Autoria
198,314,Autoria
199,315,Autoria
253,315,Autoria
222,316,Autoria
223,316,Autoria
254,317,Autoria
241,318,Autoria
240,318,Autoria
239,318,Autoria
255,318,Autoria
194,319,Autoria
221,320,Autoria
196,321,Autoria
256,321,Autoria
238,322,Autoria
196,322,Autoria
257,323,Autoria
258,323,Autoria
259,323,Autoria
260,323,Autoria
196,324,Autoria
206,325,Autoria
196,326,Autoria
197,326,Autoria
206,327,Autoria
210,328,Autoria
209,328,Autoria
261,329,Autoria
262,329,Autoria
234,329,Autoria
223,330,Autoria
222,331,Autoria
223,331,Autoria
222,332,Autoria
223,332,Autoria
263,333,Autoria
196,333,Autoria
213,334,Autoria
213,335,Autoria
264,335,Autoria
222,336,Autoria
223,336,Autoria
195,337,Autoria
196,337,Autoria
