pubId:ID(Pubs),Title,Year,Tipo,:LABEL
78,Improving the Concurrency of Integrity Checks and Write Operations,1990,article,Pub
79,OSKAR - A PROLOG Programm for Modelling Dimensional Designation and Positional Variation of Objects in Space,1990,article,Pub
80,"Die Ontologie und Axiomatik der Wissensbasis von LEU/2 - Erfahrungen, Probleme, Ausblicke",1991,article,Pub
81,Symmetric Coordination: An Alternative Theory of Phrase Structure,1992,article,Pub
82,Mglichkeiten des Einsatzes eines dreiwertigen Theorembeweisers,1991,article,Pub
83,EFTA Query Processing in LILOG-DB,1989,article,Pub
84,An Anaphora Resolution Procedure for Machine Translation,1991,article,Pub
85,Prozedurale Semantik. Reprsentation der Sprechergegenwart.,1991,article,Pub
86,Mengenkonzepte in Unifikationsgrammatiken,1992,article,Pub
87,How to Fit the Lambek Calculus into the Chomsky Hierarchy,1989,article,Pub
88,Datenbankkonzepte fr wissensbasierte Systeme,1991,article,Pub
89,"Standards fr das Programmieren in Prolog fr LILOG, Version 1.0",1987,article,Pub
90,Natural Language Understanding in LILOG: An Intermediate Overview,1990,article,Pub
91,Temporales Schlieen in einem natrlichsprachlichen System,1991,article,Pub
92,Algebraical Optimization of FTA-Expressions,1988,article,Pub
93,Correctness Proof for the WAM,1991,article,Pub
94,On the Problem of Masking Special Errors by Serial Signature Analysis,1999,article,Pub
95,"Types, Modules and Databases in the Logic Programming Language PROTOS-L",1989,article,Pub
96,A Brief Overlook of LILOG-DB,1989,article,Pub
97,DInG - ein Domnen-orientierter Inkrementeller und Integrierter Generator fr kohrente Texte,1992,article,Pub
98,Spezifikation eines Theorembeweisers fr dreiwertige First-Order Logik.,1990,article,Pub
99,Draft Report of the Logic Programming Language PROTOS-L,1991,article,Pub
100,Domain Restriction and Other Kinds of Reference Set Operations in Sentence and Discourse Semantics.,1991,article,Pub
101,"SQL/Data System, General Information Manual.",1981,article,Pub
102,Word Order and Focus Projection,1987,article,Pub
103,Integrating a Deductive Database System with a Warren Abstract Machine,1990,article,Pub
104,An Effective Representation of Complex Clauses in a Relational Database,1988,article,Pub
105,THOR - A System for Computing in Equational Theories,1992,article,Pub
106,Ein praktischer Algorithmus fr die E-Unifikation,1991,article,Pub
107,Qualittssicherung durch Programmverifikation und algebraische Methoden in der Softwareentwicklung,1988,article,Pub
108,ber Anstze zur Darstellung von Konzepten und Prototypen,1988,article,Pub
